what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316423514247
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1316423515600
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1316423515768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316423531749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316423534101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1316423534177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316423538677
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316423542981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1316423543055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316423550704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316423569036
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1316423569087
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1316423580271
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316423582021
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1316423588427
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316423600512
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316423600654
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1316423603823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316423605957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316423612404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1316423612461
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1316423612920
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1316423627139
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316423627783
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1316423631568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316423713503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316423714519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316423715814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316424568916
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1316424599736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316424610917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316424611907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316424671069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316425199060
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316425199095
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316425207524
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1316425208404
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1316425208405
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1316425208406
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1316425208406
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1316425208407
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1316425208408
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1316425208408
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1316425208408
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1316425208409
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1316425208410
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1316425208411
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1316425208414
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1316425208415
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1316425208416
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1316425208416
stopped,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1316425208420
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1316425208420
stopped,bundle,org.eclipse.m2e.core.ui,1.0.0.20110607-2117,"org.eclipse.m2e.core.ui",1316425208421
stopped,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1316425208423
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1316425208424
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1316425208426
